    Started     Recovered      Drawdown    Days
--  ----------  -----------  ----------  ------
 0  2020-06-04  2020-07-23         6.60      49
 1  2020-04-16  2020-05-28         6.52      42
 2  2022-01-24  2022-05-02         4.65      98
 3  2019-04-16  2019-05-09         4.20      23
 4  2019-09-30  2019-10-03         4.20       3
 5  2020-09-09  2020-10-22         4.16      43
 6  2022-09-08  2022-11-09         4.09      62
 7  2021-02-24  2021-03-10         3.90      14
 8  2019-10-07  2019-10-23         3.80      16
 9  2022-05-12  2022-06-30         3.77      49
